,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,20,0,,,-0.9,0.06882472016116853,0.09498310089111325
1,Qlearntab_Language__training_results,20,1,-0.9,0.06882472016116853,-1.6375,0.180892342219576,0.0673837661743164
2,Qlearntab_Language__training_results,20,2,-0.81875,0.090446171109788,-2.375,0.21344603656736233,0.061240434646606404
3,Qlearntab_Language__training_results,20,3,-0.7916666666666667,0.07114867885578745,-3.125,0.23402935038602585,0.07409405708312986
4,Qlearntab_Language__training_results,20,4,-0.78125,0.05850733759650646,-3.725,0.27915521055310316,0.0740817785263061
5,Qlearntab_Language__training_results,20,5,-0.7449999999999999,0.05583104211062064,-4.375,0.3004930159447619,0.0567200183868408
6,Qlearntab_Language__training_results,20,6,-0.7291666666666666,0.050082169324126985,-5.075,0.3591382229140957,0.05201160907745355
7,Qlearntab_Language__training_results,20,7,-0.7249999999999999,0.051305460416299395,-5.7625,0.3556290756865701,0.0680049657821655
8,Qlearntab_Language__training_results,20,8,-0.7203125,0.04445363446082126,-6.4625,0.4084933002091827,0.05562746524810785
9,Qlearntab_Language__training_results,20,9,-0.7180555555555556,0.045388144467686964,-7.175,0.43607851779720874,0.04349243640899655
10,Qlearntab_Language__training_results,20,10,-0.7175,0.043607851779720874,-7.6375,0.4994981033629236,0.06664872169494625
11,Qlearntab_Language__training_results,20,11,-0.6943181818181818,0.0454089184875385,-8.075,0.4833068655789916,0.06546151638031
12,Qlearntab_Language__training_results,20,12,-0.6729166666666666,0.040275572131582636,-8.925,0.49673274610461465,0.0384551286697387
13,Qlearntab_Language__training_results,20,13,-0.6865384615384615,0.03821021123881651,-9.6,0.5550011853946563,0.061118364334106404
14,Qlearntab_Language__training_results,20,14,-0.6857142857142857,0.03964294181390402,-10.3125,0.588227433190509,0.043439626693725544
15,Qlearntab_Language__training_results,20,15,-0.6874999999999999,0.039215162212700605,-11.0,0.6308932681440448,0.0576274394989013
16,Qlearntab_Language__training_results,20,16,-0.6875,0.0394308292590028,-11.5875,0.6664603573317297,0.050666809082031194
17,Qlearntab_Language__training_results,20,17,-0.6816176470588233,0.03920355043127821,-12.025,0.6370935236640982,0.06711232662200925
18,Qlearntab_Language__training_results,20,18,-0.6680555555555555,0.03539408464800545,-12.5125,0.7276211691460562,0.0555362701416015
19,Qlearntab_Language__training_results,20,19,-0.6585526315789474,0.03829585100768717,-13.2125,0.7318584400796301,0.05697143077850335
20,Qlearntab_Language__training_results,20,20,-0.6606250000000001,0.0365929220039815,-13.8375,0.7835216972107409,0.05050957202911375
21,Qlearntab_Language__training_results,20,21,-0.6589285714285714,0.037310557010035286,-14.6,0.8058993015324721,0.06448507308959955
22,Qlearntab_Language__training_results,20,22,-0.6636363636363637,0.036631786433294185,-15.475,0.8468012567427216,0.03630769252777095
23,Qlearntab_Language__training_results,20,23,-0.6728260869565218,0.03681744594533572,-16.1625,0.9159182550861183,0.06238090991973875
24,Qlearntab_Language__training_results,20,24,-0.6734375,0.03816326062858826,-16.85,0.910176385450413,0.0449919700622558
25,Qlearntab_Language__training_results,20,25,-0.674,0.036407055418016525,-17.6875,0.9491816073250737,0.0388205051422119
26,Qlearntab_Language__training_results,20,26,-0.6802884615384616,0.03650698489711822,-18.275,0.979376144072821,0.0747240781784057
27,Qlearntab_Language__training_results,20,27,-0.6768518518518517,0.0362731905212156,-18.9125,1.0279442630292446,0.04036581516265865
28,Qlearntab_Language__training_results,20,28,-0.6754464285714287,0.0367122951081873,-19.3125,1.0243539363140581,0.06012105941772455
29,Qlearntab_Language__training_results,20,29,-0.665948275862069,0.035322549528070964,-19.975,1.0885015049671678,0.0473761558532714
30,Qlearntab_Language__training_results,20,30,-0.6658333333333334,0.03628338349890559,-20.6125,1.1347494216786365,0.0695332288742065
31,Qlearntab_Language__training_results,20,31,-0.6649193548387098,0.036604820054149556,-21.3625,1.194350048969599,0.03786480426788325
32,Qlearntab_Language__training_results,20,32,-0.667578125,0.03732343903029997,-21.975,1.2625553661648183,0.03379273414611815
33,Qlearntab_Language__training_results,20,33,-0.6659090909090909,0.03825925352014602,-22.65,1.3099316976970896,0.050447940826416
34,Qlearntab_Language__training_results,20,34,-0.6661764705882353,0.038527402873443806,-23.25,1.3421310627035214,0.0398582220077514
35,Qlearntab_Language__training_results,20,35,-0.6642857142857144,0.0383466017915292,-23.9375,1.4015821651938474,0.0379339456558227
36,Qlearntab_Language__training_results,20,36,-0.6649305555555556,0.03893283792205133,-24.3875,1.446578881543041,0.07234477996826165
37,Qlearntab_Language__training_results,20,37,-0.6591216216216218,0.0390967265281903,-24.625,1.4521422469108036,0.06573832035064694
38,Qlearntab_Language__training_results,20,38,-0.6480263157894737,0.038214269655547466,-25.225,1.4929549469706747,0.0379785299301147
39,Qlearntab_Language__training_results,20,39,-0.6467948717948718,0.03828089607617115,-25.825,1.5521737728272023,0.042465448379516546
