,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,20,0,,,-0.75,0.12301048307916045,0.136695384979248
1,Qlearntab_Language__training_results,20,1,-0.75,0.12301048307916045,-1.45,0.1846048411294272,0.06683671474456784
2,Qlearntab_Language__training_results,20,2,-0.725,0.0923024205647136,-2.15,0.18173143863810048,0.0561162233352661
3,Qlearntab_Language__training_results,20,3,-0.7166666666666667,0.060577146212700154,-2.75,0.20358626776148883,0.0666532516479492
4,Qlearntab_Language__training_results,20,4,-0.6875,0.05089656694037221,-3.55,0.223312384458703,0.06311333179473874
5,Qlearntab_Language__training_results,20,5,-0.7100000000000001,0.0446624768917406,-4.15,0.23254880642226708,0.07480096817016595
6,Qlearntab_Language__training_results,20,6,-0.6916666666666667,0.03875813440371118,-4.9,0.21643037047317987,0.0591952800750732
7,Qlearntab_Language__training_results,20,7,-0.7,0.03091862435331141,-5.55,0.23480114767046692,0.07621037960052485
8,Qlearntab_Language__training_results,20,8,-0.69375,0.029350143458808365,-6.3,0.3332456024900364,0.0680470466613769
9,Qlearntab_Language__training_results,20,9,-0.7,0.0370272891655596,-7.15,0.3718729267965208,0.0418877601623535
10,Qlearntab_Language__training_results,20,10,-0.7150000000000001,0.03718729267965208,-8.0,0.36273812505500586,0.05585002899169915
11,Qlearntab_Language__training_results,20,11,-0.7272727272727273,0.032976193186818714,-8.7,0.3410510071436298,0.0679337978363037
12,Qlearntab_Language__training_results,20,12,-0.725,0.02842091726196914,-9.3,0.3410510071436298,0.07431638240814206
13,Qlearntab_Language__training_results,20,13,-0.7153846153846155,0.02623469285720229,-10.1,0.3762697800361079,0.0613220930099487
14,Qlearntab_Language__training_results,20,14,-0.7214285714285714,0.026876412859721997,-10.85,0.37888340103381063,0.056364059448242146
15,Qlearntab_Language__training_results,20,15,-0.7233333333333333,0.02525889340225404,-11.75,0.4159643203322536,0.0536020994186401
16,Qlearntab_Language__training_results,20,16,-0.734375,0.02599777002076585,-12.45,0.4558104407478362,0.07129454612731931
17,Qlearntab_Language__training_results,20,17,-0.7323529411764705,0.026812378867519783,-12.85,0.5040624439178355,0.056096673011779744
18,Qlearntab_Language__training_results,20,18,-0.713888888888889,0.028003469106546417,-13.6,0.5201214433086504,0.051363229751586845
19,Qlearntab_Language__training_results,20,19,-0.7157894736842105,0.027374812805718438,-14.3,0.58534740022261,0.048866510391235296
20,Qlearntab_Language__training_results,20,20,-0.7150000000000001,0.029267370011130504,-14.95,0.5734246153363878,0.06369388103485105
21,Qlearntab_Language__training_results,20,21,-0.7119047619047619,0.02730593406363751,-15.75,0.5613658156205884,0.03989088535308835
22,Qlearntab_Language__training_results,20,22,-0.7159090909090909,0.025516627982754017,-16.6,0.554408171884787,0.045379757881164495
23,Qlearntab_Language__training_results,20,23,-0.7217391304347825,0.024104703125425522,-17.15,0.5861336294557302,0.0548397302627563
24,Qlearntab_Language__training_results,20,24,-0.7145833333333333,0.024422234560655426,-17.8,0.618146635643918,0.06913602352142331
25,Qlearntab_Language__training_results,20,25,-0.712,0.024725865425756718,-18.6,0.6464477835387057,0.0558506250381469
26,Qlearntab_Language__training_results,20,26,-0.7153846153846154,0.024863376289950216,-19.3,0.6533315431411205,0.05134868621826165
27,Qlearntab_Language__training_results,20,27,-0.7148148148148148,0.02419746456078224,-20.15,0.65,0.045879721641540444
28,Qlearntab_Language__training_results,20,28,-0.719642857142857,0.023214285714285715,-20.95,0.6508092128872696,0.04064702987670895
29,Qlearntab_Language__training_results,20,29,-0.7224137931034483,0.02244169699611274,-21.75,0.6644150573407052,0.05684900283813475
30,Qlearntab_Language__training_results,20,30,-0.7249999999999999,0.022147168578023513,-22.7,0.6731700340455166,0.05885195732116695
