,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_Language__training_results,20,0,,,-0.65,0.15,0.1709262132644653
1,Qlearntab_Language__training_results,20,1,-0.65,0.15,-1.4,0.19735087641318602,0.0731333494186401
2,Qlearntab_Language__training_results,20,2,-0.7,0.09867543820659301,-2.2,0.2470883072485369,0.0689729452133178
3,Qlearntab_Language__training_results,20,3,-0.7333333333333333,0.08236276908284562,-3.05,0.2663100685884387,0.0561097860336303
4,Qlearntab_Language__training_results,20,4,-0.7625,0.06657751714710967,-3.85,0.2741014026731137,0.0631003379821777
5,Qlearntab_Language__training_results,20,5,-0.7700000000000001,0.054820280534622734,-4.45,0.3032716343651781,0.1003220081329345
6,Qlearntab_Language__training_results,20,6,-0.7416666666666667,0.05054527239419636,-5.25,0.2980197803396349,0.06163632869720455
7,Qlearntab_Language__training_results,20,7,-0.75,0.04257425433423354,-5.9,0.37626978003610795,0.0786119699478149
8,Qlearntab_Language__training_results,20,8,-0.7375,0.047033722504513494,-6.5,0.47295265146345866,0.07238650321960445
9,Qlearntab_Language__training_results,20,9,-0.7222222222222221,0.052550294607050956,-7.05,0.47834693421583063,0.07180559635162351
10,Qlearntab_Language__training_results,20,10,-0.7049999999999998,0.04783469342158307,-7.75,0.5019698040824033,0.06912791728973386
11,Qlearntab_Language__training_results,20,11,-0.7045454545454545,0.04563361855294575,-8.35,0.49351051820497943,0.06115674972534175
12,Qlearntab_Language__training_results,20,12,-0.6958333333333333,0.04112587651708161,-9.2,0.500526039072368,0.04393172264099115
13,Qlearntab_Language__training_results,20,13,-0.7076923076923077,0.03850200300556677,-10.15,0.49351051820497943,0.0588586330413818
14,Qlearntab_Language__training_results,20,14,-0.7250000000000001,0.03525075130035567,-11.0,0.5572488813712179,0.0553512573242187
15,Qlearntab_Language__training_results,20,15,-0.7333333333333334,0.03714992542474786,-11.7,0.6613383559514989,0.058261036872863756
16,Qlearntab_Language__training_results,20,16,-0.73125,0.04133364724696868,-12.35,0.6620343447920285,0.07281887531280515
17,Qlearntab_Language__training_results,20,17,-0.7264705882352942,0.03894319675247226,-13.1,0.7030010855722696,0.04128777980804435
18,Qlearntab_Language__training_results,20,18,-0.7277777777777779,0.03905561586512608,-13.7,0.6613383559514989,0.058354496955871554
19,Qlearntab_Language__training_results,20,19,-0.7210526315789473,0.03480728189218415,-14.35,0.6500000000000001,0.07931351661682125
20,Qlearntab_Language__training_results,20,20,-0.7174999999999999,0.032499999999999994,-14.9,0.6954740904780823,0.07629632949829095
21,Qlearntab_Language__training_results,20,21,-0.7095238095238094,0.03311781383228963,-15.6,0.7377062601847632,0.0558643341064453
22,Qlearntab_Language__training_results,20,22,-0.7090909090909092,0.03353210273567105,-16.4,0.7448065803316074,0.06308853626251215
23,Qlearntab_Language__training_results,20,23,-0.7130434782608697,0.032382894797026406,-16.8,0.7833799911449844,0.0613657236099243
24,Qlearntab_Language__training_results,20,24,-0.7,0.03264083296437434,-17.35,0.8406607676796802,0.06106209754943845
25,Qlearntab_Language__training_results,20,25,-0.6940000000000002,0.03362643070718722,-17.7,0.9293461198747835,0.06544589996337885
26,Qlearntab_Language__training_results,20,26,-0.6807692307692308,0.03574408153364552,-18.4,0.9662733622150181,0.04822838306426995
27,Qlearntab_Language__training_results,20,27,-0.6814814814814815,0.035787902304259926,-19.05,1.024630870632264,0.0489921569824218
28,Qlearntab_Language__training_results,20,28,-0.6803571428571429,0.036593959665438006,-19.6,0.9904810102061258,0.0878829956054687
29,Qlearntab_Language__training_results,20,29,-0.6758620689655173,0.034154517593314684,-20.35,1.044471661957173,0.05086338520050045
30,Qlearntab_Language__training_results,20,30,-0.6783333333333335,0.03481572206523909,-20.95,1.1013747390372968,0.0394084453582763
31,Qlearntab_Language__training_results,20,31,-0.6758064516129032,0.0355282173882999,-21.7,1.1700202427398647,0.042655467987060505
32,Qlearntab_Language__training_results,20,32,-0.678125,0.03656313258562077,-22.35,1.2466270281717866,0.058705329895019503
33,Qlearntab_Language__training_results,20,33,-0.6772727272727272,0.03777657661126626,-23.0,1.3198883525351282,0.0343328714370727
34,Qlearntab_Language__training_results,20,34,-0.6764705882352942,0.03882024566279788,-23.7,1.3937831893617345,0.0581541061401367
35,Qlearntab_Language__training_results,20,35,-0.6771428571428572,0.03982237683890671,-24.4,1.4750557527375738,0.0399060249328613
36,Qlearntab_Language__training_results,20,36,-0.6777777777777778,0.04097377090937705,-25.05,1.5225930098631775,0.06417775154113764
37,Qlearntab_Language__training_results,20,37,-0.6770270270270271,0.041151162428734525,-25.7,1.6044346438280959,0.041977167129516546
38,Qlearntab_Language__training_results,20,38,-0.6763157894736842,0.04222196431126568,-26.3,1.6750490959026276,0.057859063148498494
39,Qlearntab_Language__training_results,20,39,-0.6743589743589744,0.04294997681801609,-26.9,1.753042468035741,0.05649542808532715
40,Qlearntab_Language__training_results,20,40,-0.6725000000000001,0.04382606170089352,-27.6,1.8444796727418538,0.06333053112030025
41,Qlearntab_Language__training_results,20,41,-0.6731707317073171,0.04498730909126472,-28.1,1.8749035062889867,0.0900415182113647
42,Qlearntab_Language__training_results,20,42,-0.6690476190476191,0.04464055967354731,-28.4,1.956635135284956,0.06655824184417719
43,Qlearntab_Language__training_results,20,43,-0.6604651162790698,0.04550314268104548,-29.05,2.0032539319291187,0.04605591297149655
44,Qlearntab_Language__training_results,20,44,-0.6602272727272729,0.0455284984529345,-29.7,2.091461337513986,0.061750054359435994
45,Qlearntab_Language__training_results,20,45,-0.66,0.04647691861142189,-30.45,2.1770030099343356,0.03638947010040275
46,Qlearntab_Language__training_results,20,46,-0.6619565217391304,0.04732615238987686,-31.15,2.259803205218496,0.0633301734924316
47,Qlearntab_Language__training_results,20,47,-0.6627659574468086,0.048080919259968005,-31.75,2.3416986637009782,0.07045686244964594
48,Qlearntab_Language__training_results,20,48,-0.6614583333333333,0.04878538882710371,-32.3,2.3985741378445744,0.0743571519851684
49,Qlearntab_Language__training_results,20,49,-0.6591836734693878,0.04895049260907294,-32.95,2.491538311544644,0.04926156997680655
